player,team,league,league_clean,nationality,position_raw,position_group,age,birth_year,fbref_id,minutes,goals,assists,xg,xag,npxg,shots,shots_on_target,progressive_carries,progressive_passes,progressive_receives,key_passes,tackles,tackles_won,interceptions,blocks,clearances,crosses,dribbles_completed,dribbles_attempted,aerial_duels_won_pct,pass_completion_rate,passes_final_third,goals_p90,assists_p90,xg_p90,xag_p90,npxg_p90,shots_p90,shots_on_target_p90,progressive_carries_p90,progressive_passes_p90,progressive_receives_p90,key_passes_p90,tackles_p90,tackles_won_p90,interceptions_p90,blocks_p90,clearances_p90,crosses_p90,dribbles_completed_p90,dribbles_attempted_p90,passes_final_third_p90,shot_accuracy,dribble_success_rate,tackle_success_rate,goals_per_shot,league_difficulty,league_tier,raw_scouting_score,adjusted_scouting_score,market_value_m,contract_expiry,valuation_status,contract_expiring,position_median_mv,value_gap_m,value_gap_pct,age_score_context
Himad Abdelli,Angers,fr Ligue 1,Ligue 1,dz ALG,"MF,FW",AM,24.0,1999.0,7978cbf0,2842,6,1,6.4,3.2,3.2,35,8,107.0,207.0,111.0,39.0,48.0,32,26,31.0,28.0,44,57.0,121.0,39.4,82.1,171.0,0.19,0.032,0.203,0.101,0.101,1.108,0.253,3.388,6.555,3.515,1.235,1.52,1.013,0.823,0.982,0.887,1.393,1.805,3.832,5.415,22.86,47.11,66.67,0.171,1.0,1,37.2,37.2,3.0,2030-06-30 00:00:00,Undervalued,False,5.0,-2.0,-40.0,Developing
Ali Abdi,Nice,fr Ligue 1,Ligue 1,tn TUN,"DF,MF",FB,30.0,1993.0,ad7cdb35,1393,5,2,4.3,1.9,4.3,29,11,35.0,42.0,101.0,20.0,43.0,25,20,22.0,37.0,51,12.0,29.0,61.1,74.0,19.0,0.323,0.129,0.278,0.123,0.278,1.874,0.711,2.261,2.714,6.525,1.292,2.778,1.615,1.292,1.421,2.391,3.295,0.775,1.874,1.228,37.93,41.38,58.14,0.172,1.0,1,71.7,71.7,2.5,2027-06-30 00:00:00,Fair Value,False,3.5,-1.0,-28.6,Declining
Abel,Osasuna,es La Liga,La Liga,es ESP,DF,CB,23.0,2000.0,40b6bd38,2074,2,0,0.5,1.0,0.5,12,4,50.0,77.0,92.0,16.0,61.0,37,18,47.0,64.0,85,18.0,35.0,54.1,72.5,57.0,0.087,0.0,0.022,0.043,0.022,0.521,0.174,2.17,3.341,3.992,0.694,2.647,1.606,0.781,2.04,2.777,3.689,0.781,1.519,2.473,33.33,51.43,60.66,0.167,1.0,1,45.2,45.2,4.5,2029-06-30 00:00:00,Fair Value,False,4.5,0.0,0.0,Developing
Matthis Abline,Nantes,fr Ligue 1,Ligue 1,fr FRA,FW,ST,21.0,2003.0,bbe96b16,2768,9,2,8.5,3.8,7.7,73,26,75.0,48.0,169.0,27.0,11.0,5,4,27.0,36.0,30,35.0,86.0,45.7,65.2,23.0,0.293,0.065,0.276,0.124,0.25,2.374,0.845,2.439,1.561,5.495,0.878,0.358,0.163,0.13,0.878,1.171,0.975,1.138,2.796,0.748,35.62,40.7,45.45,0.123,1.0,1,31.7,31.7,20.0,2028-06-30 00:00:00,Overvalued,False,8.0,12.0,150.0,High Potential
Abner,Lyon,fr Ligue 1,Ligue 1,br BRA,DF,CB,24.0,2000.0,7f9c5d2d,1090,1,1,0.6,1.1,0.6,7,3,31.0,66.0,55.0,11.0,29.0,20,5,19.0,41.0,31,6.0,12.0,43.8,84.1,45.0,0.083,0.083,0.05,0.091,0.05,0.578,0.248,2.56,5.45,4.541,0.908,2.394,1.651,0.413,1.569,3.385,2.56,0.495,0.991,3.716,42.86,50.0,68.97,0.143,1.0,1,57.1,57.1,7.0,2029-06-30 00:00:00,Overvalued,False,4.5,2.5,55.6,Developing
Zakaria Aboukhlal,Toulouse,fr Ligue 1,Ligue 1,ma MAR,"MF,FW",AM,24.0,2000.0,c2a6033c,1901,7,2,10.2,1.6,8.6,62,26,34.0,22.0,164.0,12.0,22.0,13,6,14.0,9.0,33,16.0,53.0,36.7,63.3,16.0,0.331,0.095,0.483,0.076,0.407,2.935,1.231,1.61,1.042,7.764,0.568,1.042,0.615,0.284,0.663,0.426,1.562,0.757,2.509,0.757,41.94,30.19,59.09,0.113,1.0,1,24.7,24.7,9.0,2029-06-30 00:00:00,Overvalued,False,5.0,4.0,80.0,Developing
Abdel Abqar,Alavés,es La Liga,La Liga,ma MAR,DF,CB,25.0,1999.0,2bc7f211,2463,0,1,0.9,0.3,0.9,12,1,16.0,79.0,4.0,8.0,36.0,23,39,6.0,146.0,5,3.0,4.0,53.3,76.6,67.0,0.0,0.037,0.033,0.011,0.033,0.438,0.037,0.585,2.887,0.146,0.292,1.315,0.84,1.425,0.219,5.335,0.183,0.11,0.146,2.448,8.33,75.0,63.89,0.0,1.0,1,59.0,59.0,7.5,2028-06-30 00:00:00,Overvalued,False,4.5,3.0,66.7,Prime
Tammy Abraham,Milan,it Serie A,Serie A,eng ENG,FW,ST,26.0,1997.0,f586779e,1183,3,4,7.1,2.2,5.4,26,11,8.0,26.0,69.0,14.0,17.0,11,2,6.0,16.0,3,4.0,14.0,52.2,68.8,13.0,0.228,0.304,0.54,0.167,0.411,1.978,0.837,0.609,1.978,5.249,1.065,1.293,0.837,0.152,0.456,1.217,0.228,0.304,1.065,0.989,42.31,28.57,64.71,0.115,1.0,1,48.5,48.5,14.0,2030-06-30 00:00:00,Overvalued,False,8.0,6.0,75.0,Prime
Akor Adams,Montpellier,fr Ligue 1,Ligue 1,ng NGA,FW,ST,24.0,2000.0,2ccd39ed,1075,3,1,4.3,1.0,4.3,26,12,11.0,6.0,45.0,12.0,4.0,3,1,7.0,5.0,5,7.0,14.0,50.9,62.6,8.0,0.251,0.084,0.36,0.084,0.36,2.177,1.005,0.921,0.502,3.767,1.005,0.335,0.251,0.084,0.586,0.419,0.419,0.586,1.172,0.67,46.15,50.0,75.0,0.115,1.0,1,41.7,41.7,10.0,2029-06-30 00:00:00,Fair Value,False,8.0,2.0,25.0,Developing
Che Adams,Torino,it Serie A,Serie A,sct SCO,FW,ST,28.0,1996.0,f2bf1b0f,2652,9,3,9.0,2.0,8.2,63,25,23.0,40.0,153.0,26.0,12.0,6,2,17.0,18.0,10,11.0,37.0,36.7,74.3,32.0,0.305,0.102,0.305,0.068,0.278,2.138,0.848,0.781,1.357,5.192,0.882,0.407,0.204,0.068,0.577,0.611,0.339,0.373,1.256,1.086,39.68,29.73,50.0,0.143,1.0,1,40.6,40.6,18.0,2027-06-30 00:00:00,Overvalued,False,8.0,10.0,125.0,Experienced
